Time,IR_brachial,IR_ankle
5414,108930,104139
5420,108928,104152
5423,108933,104156
5428,108936,104171
5433,108922,104192
5438,108940,104182
5443,108917,104213
5448,108927,104206
5453,108938,104240
5458,108944,104203
5464,108939,104253
5469,108936,104189
5474,108948,104192
5479,108942,104166
5484,108946,104206
5488,108937,104215
5493,108942,104215
5498,108920,104223
5504,108907,104217
5509,108928,104228
5514,108925,104242
5519,108926,104228
5524,108921,104284
5529,108912,104202
5534,108915,104224
5539,108907,104160
5544,108918,104214
5548,108901,104225
5553,108893,104224
5558,108891,104217
5563,108900,104210
5568,108909,104244
5573,108893,104239
5578,108902,104225
5583,108896,104224
5588,108910,104178
5594,108894,104215
5599,108900,104182
5604,108895,104166
5608,108882,104196
5613,108900,104214
5618,108910,104244
5623,108898,104230
5628,108909,104239
5634,108893,104252
5639,108901,104231
5644,108900,104220
5649,108902,104233
5654,108908,104158
5659,108903,104201
5664,108910,104196
5667,108913,104222
5673,108986,104243
5679,108913,104234
5684,108906,104241
5689,108910,104299
5694,108914,104250
5699,108910,104217
5703,108929,104228
5708,108920,104191
5713,108916,104217
5718,108975,104234
5723,109001,104255
5728,108923,104291
5733,108920,104268
5738,108911,104277
5743,108937,104257
5748,108930,104249
5753,108925,104242
5758,108937,104229
5764,108979,104244
5768,109026,104262
5773,109002,104308
5778,108949,104273
5783,108960,104325
5788,108943,104310
5793,108949,104311
5798,108946,104263
5804,108956,104250
5809,108989,104255
5814,108991,104295
5818,108986,104297
5823,108930,104319
5828,108915,104374
5833,108903,104367
5838,108910,104315
5843,108886,104291
5849,108921,104295
5854,108964,104279
5859,108949,104307
5863,108918,104289
5868,108821,104318
5873,108890,104314
5878,108859,104297
5883,108855,104261
5889,108907,104222
5894,108930,104179
5899,108905,104183
5903,108854,104173
5908,108745,104210
5913,108841,104216
5918,108869,104114
5923,108931,104106
5928,108914,104060
5934,108892,104076
5939,108823,104099
5943,108745,104090
5948,108768,104104
5953,108858,104083
5958,108922,104046
5963,108891,104046
5968,108881,104007
5974,108807,104029
5978,108744,104058
5983,108769,104086
5988,108932,104037
5993,108894,104022
5998,108888,104025
6003,108811,104013
6008,108763,104021
6012,108769,104035
6018,108791,104100
6023,108906,104019
6028,108864,104010
6033,108738,104033
6037,108781,104047
6043,108806,104050
6048,108908,104049
6053,108805,104055
6059,108778,104058
6064,108792,104075
6067,108794,104092
6073,108804,104083
6078,108817,104116
6083,108771,104079
6088,108782,104087
6092,108801,104116
6098,108818,104102
6104,108752,104113
6109,108779,104120
6114,108858,104144
6117,108790,104154
6123,108806,104134
6128,108769,104156
6133,108766,104152
6138,108804,104184
6142,108778,104189
6148,108798,104182
6153,108742,104183
6158,108774,104199
6162,108769,104215
6168,108786,104212
6173,108769,104200
6178,108757,104207
6187,108801,104228
6192,108771,104163
6197,108747,104197
6202,108776,104210
6206,108768,104220
6211,108787,104261
6216,108784,104252
6221,108785,104275
6226,108780,104333
6232,108809,104309
6236,108803,104306
6241,108796,104265
6246,108765,104169
6251,108746,104177
6256,108732,104164
6261,108773,104200
6265,108763,104204
6270,108773,104247
6276,108784,104249
6281,108785,104235
6286,108791,104245
6291,108803,104298
6296,108827,104339
6301,108812,104327
6306,108818,104260
6311,108781,104206
6317,108775,104138
6322,108777,104175
6325,108814,104215
6330,108810,104240
6335,108829,104248
6340,108841,104241
6345,108834,104247
6350,108850,104244
6355,108890,104281
6361,108871,104315
6366,108841,104316
6371,108831,104297
6376,108823,104209
6381,108857,104179
6385,108858,104211
6390,108868,104261
6395,108882,104266
6401,108877,104263
6406,108869,104286
6411,108920,104292
6416,108934,104250
6421,108903,104303
6426,108868,104331
6431,108843,104347
6436,108867,104247
6439,108880,104171
6445,108907,104271
6450,108915,104280
6455,108917,104273
6460,108905,104282
6465,108941,104286
6470,108952,104294
6475,108945,104307
6480,108918,104314
6486,108886,104377
6491,108871,104371
6496,108891,104394
6500,108883,104310
6505,108905,104329
6510,108901,104323
6515,108883,104326
6520,108880,104314
6525,108895,104323
6531,108892,104336
6536,108883,104326
6541,108834,104334
6546,108793,104375
6551,108820,104401
6554,108828,104392
6559,108832,104342
6564,108834,104328
6569,108818,104348
6575,108808,104358
6580,108827,104363
6585,108860,104345
6590,108835,104313
6595,108824,104301
6600,108781,104275
6605,108761,104258
6610,108771,104290
6615,108784,104328
6620,108799,104208
6625,108811,104209
6630,108793,104197
6635,108807,104168
6639,108817,104133
6644,108822,104122
6649,108828,104131
6654,108813,104116
6660,108786,104111
6665,108765,104105
6670,108767,104080
6674,108783,104102
6679,108797,104048
6684,108797,104083
6689,108781,104063
6694,108787,104034
6700,108803,104042
6705,108796,104028
6710,108824,104053
6715,108785,104033
6720,108767,104025
6725,108740,104045
6730,108745,104048
6733,108766,104035
6738,108784,104051
6744,108796,104038
6749,108758,104054
6754,108792,104060
6759,108803,104055
6764,108809,104100
6769,108809,104070
6774,108810,104074
6779,108788,104088
6785,108735,104081
6790,108784,104071
6795,108777,104077
6799,108806,104096
6804,108788,104093
6809,108791,104120
6814,108792,104112
6819,108803,104124
6824,108831,104145
6830,108819,104168
6835,108774,104170
6840,108771,104168
6845,108748,104156
6850,108768,104163
6853,108793,104157
6858,108795,104173
6863,108797,104220
6868,108805,104207
6874,108815,104204
6879,108815,104201
6884,108838,104222
6889,108809,104206
6894,108771,104240
6899,108794,104247
6904,108768,104219
6909,108787,104235
6914,108820,104225
6919,108809,104244
6924,108789,104237
6929,108812,104249
6934,108822,104273
6939,108839,104254
6944,108870,104248
6949,108841,104234
6955,108805,104248
6959,108791,104233
6964,108810,104256
6968,108839,104244
6973,108832,104269
6978,108853,104262
6983,108855,104249
6988,108858,104251
6993,108877,104245
6999,108861,104252
7004,108882,104248
7009,108866,104249
