Time,IR_brachial,IR_ankle
6162,109653,103854
6167,109624,103842
6172,109629,103852
6176,109610,103878
6181,109621,103879
6187,109614,103865
6192,109628,103852
6197,109642,103861
6202,109626,103862
6207,109640,103861
6212,109634,103871
6216,109643,103859
6221,109671,103867
6226,109675,103871
6232,109648,103866
6237,109676,103859
6242,109725,103838
6247,109734,103860
6252,109717,103859
6257,109735,103878
6261,109749,103869
6266,109738,103869
6272,109763,103855
6277,109756,103869
6282,109768,103866
6287,109763,103872
6292,109771,103884
6297,109761,103886
6301,109761,103873
6306,109779,103869
6311,109750,103884
6317,109730,103901
6322,109719,103903
6327,109689,103890
6332,109661,103908
6337,109646,103893
6346,109567,103904
6358,109495,103898
6363,109477,103916
6368,109422,103878
6373,109338,103887
6376,109643,103896
6381,109343,103932
6386,109369,103946
6391,109351,103927
6396,109339,103940
6402,109352,103969
6407,109427,103995
6412,109371,103973
6417,109387,103968
6422,109313,103929
6427,109286,103920
6432,109303,103936
6436,109365,103947
6441,109374,103969
6447,109441,103965
6452,109455,103968
6457,109482,103965
6462,109521,103969
6467,109602,104011
6472,109590,104005
6477,109545,104005
6482,109494,103966
6488,109551,103953
6493,109554,103965
6496,109588,103971
6501,109609,104005
6506,109629,104024
6511,109649,104009
6516,109715,104002
6521,109758,104000
6526,109728,104015
6532,109687,104052
6537,109623,104041
6542,109594,104020
6547,109605,104004
6552,109627,103991
6557,109616,104002
6565,109648,104014
6571,109661,103933
6576,109632,103945
6581,109664,103984
6585,109671,103977
6590,109689,104032
6595,109690,104048
6600,109680,104041
6605,109711,104064
6610,109696,104155
6616,109680,104094
6621,109684,104087
6626,109643,104027
6631,109638,103960
6636,109644,103995
6639,109667,104005
6644,109671,104057
6649,109680,104073
6654,109679,104038
6660,109677,104096
6665,109698,104049
6670,109703,104127
6675,109691,104105
6680,109694,104114
6685,109657,104036
6690,109653,103941
6695,109659,103854
6700,109674,103887
6705,109676,103910
6710,109681,103887
6715,109664,103895
6720,109680,103851
6725,109703,103833
6730,109707,103836
6735,109699,103834
6739,109633,103849
6745,109619,103823
6750,109623,103773
6754,109654,103679
6759,109633,103715
6764,109664,103722
6769,109655,103699
6774,109653,103703
6779,109683,103700
6785,109667,103698
6790,109679,103700
6795,109661,103699
6800,109623,103738
6805,109608,103769
6810,109606,103736
6815,109613,103756
6818,109630,103646
6823,109646,103688
6829,109624,103696
6834,109631,103689
6839,109630,103690
6844,109633,103696
6849,109646,103688
6854,109642,103681
6859,109626,103707
6864,109604,103772
6870,109583,103773
6875,109593,103776
6879,109606,103780
6884,109600,103733
6889,109632,103752
6894,109628,103773
6899,109627,103739
6904,109635,103757
6909,109648,103769
6915,109634,103773
6920,109598,103790
6925,109557,103799
6930,109583,103835
6933,109596,103908
6938,109625,103827
6943,109631,103841
6948,109602,103845
6953,109612,103856
6959,109636,103848
6964,109643,103867
6969,109639,103909
6974,109605,103902
6979,109604,103886
6984,109569,103889
6989,109605,103905
6993,109612,103976
6999,109618,103899
7004,109598,103896
7009,109632,103878
7014,109628,103900
7019,109607,103902
7024,109645,103902
7029,109603,103902
7034,109574,103920
7040,109567,103922
7045,109583,103908
7048,109613,103925
7053,109612,103919
7058,109613,103914
7063,109620,103906
7068,109644,103909
7073,109643,103913
7078,109636,103909
7084,109647,103886
7089,109597,103905
7094,109595,103897
7099,109583,103898
7104,109586,103902
7108,109598,103894
7113,109622,103884
7118,109594,103886
7123,109617,103914
7129,109634,103907
7134,109635,103899
7139,109624,103892
7144,109628,103876
7149,109589,103899
7154,109584,103906
7159,109588,103899
7162,109604,103899
7168,109611,103912
7173,109640,103900
7178,109625,103889
7183,109634,103892
7188,109650,103894
7193,109679,103889
7198,109683,103901
7203,109638,103897
7208,109624,103899
7214,109599,103890
7219,109638,103904
7223,109654,103896
7228,109658,103906
7233,109669,103913
7238,109664,103910
7243,109682,103933
7248,109683,103916
7254,109695,103938
7258,109668,103926
7263,109647,103909
7268,109648,103922
7273,109655,103912
7277,109668,103922
7282,109678,103935
7287,109684,103951
7292,109684,103954
7298,109684,103943
7303,109700,103959
7308,109722,103946
7313,109701,103946
7318,109700,103951
7323,109668,103984
7328,109671,103976
7333,109679,103989
7337,109714,103943
7342,109697,103970
7347,109717,103976
7352,109717,103991
7357,109720,103972
7362,109754,103995
7367,109771,103981
7372,109745,103983
7377,109714,103994
7383,109708,104013
7388,109719,103985
7393,109715,103990
7397,109731,103982
7402,109734,103999
7407,109739,103999
7412,109750,103998
7417,109750,104003
7422,109744,104029
7428,109746,104046
7433,109718,104029
7438,109675,104016
7443,109645,104018
7448,109650,104037
7451,109665,104029
7456,109665,104027
7461,109680,104031
7467,109654,104035
7472,109647,104038
7477,109645,104059
7482,109663,104028
7487,109657,104028
7492,109587,104010
7497,109588,104016
7502,109554,103992
7507,109564,103992
7512,109568,103958
7517,109580,103945
7522,109580,103945
7527,109573,103893
7532,109556,103899
7537,109578,103862
7542,109588,103825
7547,109570,103823
7553,109525,103805
7558,109512,103787
7563,109520,103773
7566,109522,103770
7571,109536,103741
7576,109552,103744
7581,109526,103727
7586,109525,103715
7591,109536,103710
7597,109556,103701
7602,109524,103697
7607,109494,103698
7612,109463,103698
7617,109468,103689
7621,109482,103708
7626,109497,103699
7631,109494,103697
7636,109505,103660
7642,109479,103683
7647,109474,103707
7652,109501,103680
7657,109514,103691
7662,109468,103687
7667,109461,103704
7672,109451,103692
7677,109472,103719
7681,109486,103720
7686,109470,103718
7691,109486,103726
7696,109492,103718
7701,109484,103734
7706,109506,103724
7711,109526,103746
7716,109517,103747
7721,109475,103739
7727,109474,103750
7732,109475,103763
7737,109492,103771
7741,109484,103787
7746,109493,103790
7751,109492,103790
7756,109491,103794
7761,109494,103815
7767,109528,103822
7771,109522,103836
7776,109516,103834
7781,109492,103848
7786,109492,103841
7791,109480,103878
7796,109483,103869
7800,109505,103891
7805,109517,103884
7811,109521,103887
7816,109540,103903
7821,109513,103904
7826,109549,103910
7831,109558,103917
7836,109561,103894
7841,109549,103901
